Topic,Provisional label,Documents,Documents (%),Representative terms,Final label,OpenAI rationale,Label source
0,climate / environmental / energy,165,12.75,climate; environmental; energy; sustainability; nuclear; sustainable; transition; animal,Environmental Narratives and Media Framing,"The abstracts focus on how media narratives shape perceptions of environmental issues, wildlife, and energy sustainability, highlighting the interplay between societal attitudes and news coverage.",OpenAI-assisted
1,trump / election / scandal,142,10.97,trump; election; scandal; trust; video; virtual; consumption; objectivity,Trust and Objectivity in News Media,"The topic focuses on the challenges of trust, objectivity, and the impact of digital technologies on storytelling and news consumption, as evidenced by the representative terms and abstracts.",OpenAI-assisted
2,china / chinese / geopolitical,99,7.65,china; chinese; geopolitical; indonesia; ethnic; boundary; indonesian; chinese news,Chinese Media and Geopolitical Narratives,"The topic focuses on the representation of Chinese political discourse and technology in international news media, particularly examining the interplay of translation, sentiment, and media framing in relation to geopolitical issues involving China.",OpenAI-assisted
3,refugee / immigrant / migration,78,6.03,refugee; immigrant; migration; migrant; border; threat; european; europe,Migration Narratives and Media Representation,"The topic focuses on the portrayal of migrants and refugees in news media, exploring narratives, framing, and the complexities of migration journalism.",OpenAI-assisted
4,police / crime / mass,55,4.25,police; crime; mass; murder; black; killing; perpetrate; criminal,Police Violence and Racial Narratives,"The topic focuses on the intersection of police violence, crime, and the narratives shaped by news media regarding race relations and police shootings.",OpenAI-assisted
5,pandemic / disease / vaccine,51,3.94,pandemic; disease; vaccine; outbreak; public health; health; lockdown; health crisis,Public Health Narratives and Media Coverage,"The topic focuses on the narratives and framing of public health issues, particularly during disease outbreaks like COVID-19 and Ebola, as represented in news media.",OpenAI-assisted
6,sexual / violence / girl,43,3.32,sexual; violence; girl; victim; feminist; assault; man; abuse,Gender-Based Violence in Media Narratives,"The topic focuses on the portrayal and framing of gender violence, particularly against women and girls, in news media narratives and their implications.",OpenAI-assisted
7,drug / suicide / substance,39,3.01,drug; suicide; substance; stigma; medicine; alcohol; intention; screen,Media Representations of Stigma in Substance Use and Mental Health,"The topic focuses on how news media coverage influences public perceptions and stigma surrounding substance use disorders and mental health issues, as evidenced by the representative terms and abstracts.",OpenAI-assisted
8,russian / russia / ukraine,35,2.7,russian; russia; ukraine; invasion; war; disinformation; strategic narrative; strategic,Disinformation and Strategic Narratives in the Russo-Ukrainian War,"The topic focuses on the narratives and media coverage surrounding Russia's invasion of Ukraine, highlighting themes of disinformation and strategic communication in various international contexts.",OpenAI-assisted
9,africa / african / accountability,35,2.7,africa; african; accountability; church; house; conflict; protection; magazine,Media Representations of Africa and Conflict,"The topic focuses on how African narratives, particularly regarding conflicts and colonial legacies, are constructed and represented in various media outlets.",OpenAI-assisted
10,sentiment / financial / market,31,2.4,sentiment; financial; market; firm; return; real; regression; housing,Financial Sentiment Analysis in News Media,The topic focuses on the use of sentiment analysis and narrative information from news articles to forecast financial market trends and economic indicators.,OpenAI-assisted
11,muslim / islamic / terrorist,30,2.32,muslim; islamic; terrorist; terrorism; religious; attack; censorship; religion,Media Representation of Religious Groups and Terrorism,"The topic focuses on the portrayal of religious groups, particularly Muslims and non-Muslims, in media narratives, alongside themes of terrorism and censorship.",OpenAI-assisted
12,disability / care / miss,28,2.16,disability; care; miss; intellectual; birth; neglect; woman; white woman,Narratives of Care and Disability in Media,"The topic explores how storytelling in news media shapes perceptions of care, disability, and societal attitudes towards marginalized individuals, particularly in the context of end-of-life issues and adoption narratives.",OpenAI-assisted
13,artificial / artificial intelligence / intelligence,28,2.16,artificial; artificial intelligence; intelligence; technology; german; automate; fear; autonomous,AI Narratives in Media,"The topic focuses on how artificial intelligence is portrayed in media narratives, including its risks, ethical considerations, and the influence of AI on public perception and trust.",OpenAI-assisted
14,arabic / israeli / medium politic,26,2.01,arabic; israeli; medium politic; conflict; compound; music; relationship medium; middle,Media Narratives in the Israeli-Palestinian Conflict,"The topic focuses on the contrasting media representations and narratives surrounding the Israeli-Palestinian conflict, particularly through the lens of different news outlets and their ideological biases.",OpenAI-assisted
15,sport / elite / mother,25,1.93,sport; elite; mother; game; woman; girl; extend; socio cultural,Gender and Agency in Sports Narratives,"The topic explores the representation of women and girls in sports media, focusing on themes of empowerment, agency, and the socio-cultural implications of their portrayal.",OpenAI-assisted
16,extraction / task / temporal,24,1.85,extraction; task; temporal; computational; judge; domain; accuracy; technique,Information Extraction and Analysis in News Media,The topic focuses on techniques for extracting and analyzing narratives and information from news content using computational methods and machine learning.,OpenAI-assisted
17,education / school / reform,22,1.7,education; school; reform; university; teaching; educational; conservative; funding,Education Policy and Media Representation,"The topic focuses on the intersection of educational reforms, teaching practices, and the portrayal of these issues in news media.",OpenAI-assisted
18,woman / patriarchal / gender,21,1.62,woman; patriarchal; gender; feminist; intersectional; gendere; south africa; empowerment,Gender and Media Narratives,"The topic focuses on the representation of gender issues, particularly women's experiences and empowerment, in media narratives across different cultural contexts.",OpenAI-assisted
19,indian / india / mobile,21,1.62,indian; india; mobile; minor; sea; science; distance; recur,Indian Media and Socio-Political Narratives,"The topic focuses on the role of Indian news media in shaping narratives around significant socio-political events and figures, particularly in the context of religious and cultural discourse.",OpenAI-assisted
20,indigenous / new zealand / zealand,20,1.55,indigenous; new zealand; zealand; native; sound; indigenous people; responsive; culturally,Indigenous Narratives and Media Representation,"The topic focuses on the portrayal of Indigenous peoples and their cultural narratives in news media, emphasizing ethical representation, cultural capital, and the impact of colonialism in Aotearoa New Zealand.",OpenAI-assisted
21,weight / physical / science,20,1.55,weight; physical; science; loss; scientific; uncertain; comment; bias,Weight Loss and Science Communication,"The topic focuses on weight loss strategies, particularly intermittent fasting and pharmaceutical interventions, and examines how these are communicated and perceived in news media and public discourse.",OpenAI-assisted
22,visualization / map / chart,19,1.47,visualization; map; chart; interactive; belief; experiment; analytic; recall,Data Visualization in Storytelling,"The topic focuses on the role of data visualization, including maps and charts, in enhancing storytelling within news media and science communication.",OpenAI-assisted
23,issue affect / spanish language / magazine,19,1.47,issue affect; spanish language; magazine; marginalized; japan; people news; star; family,Media Representation of Marginalized Communities,"The topic focuses on the representation and narrative strategies of marginalized groups, particularly the LGBT community and trans individuals, in various news media contexts.",OpenAI-assisted
24,rural / urban / resident,17,1.31,rural; urban; resident; town; developer; industrial; compete narrative; press coverage,Urban and Rural Narratives in Media,"The topic focuses on how media narratives shape perceptions of urban and rural communities, particularly in relation to development, depopulation, and cultural events.",OpenAI-assisted
